# experiment: baseline
# description: Room temp, refresh OFF
# start_time: 2026-04-03T20:58:46.445671+00:00
timestamp,iteration,hold_s,refresh_rate,flip_count,experiment
2026-04-03T21:03:42.337453+00:00,81,5,OFF,0,baseline
2026-04-03T21:03:46.002538+00:00,82,5,OFF,0,baseline
2026-04-03T21:03:49.680048+00:00,83,5,OFF,0,baseline
2026-04-03T21:03:53.337485+00:00,84,5,OFF,0,baseline
2026-04-03T21:03:57.025419+00:00,85,5,OFF,0,baseline
2026-04-03T21:04:00.688319+00:00,86,5,OFF,0,baseline
2026-04-03T21:04:04.367314+00:00,87,5,OFF,0,baseline
2026-04-03T21:04:08.028635+00:00,88,5,OFF,0,baseline
2026-04-03T21:04:11.712977+00:00,89,5,OFF,0,baseline
2026-04-03T21:04:15.371230+00:00,90,5,OFF,0,baseline
2026-04-03T21:04:19.052833+00:00,91,5,OFF,0,baseline
2026-04-03T21:04:22.720569+00:00,92,5,OFF,0,baseline
2026-04-03T21:04:26.400048+00:00,93,5,OFF,0,baseline
2026-04-03T21:04:30.058835+00:00,94,5,OFF,0,baseline
2026-04-03T21:04:33.743562+00:00,95,5,OFF,0,baseline
2026-04-03T21:04:37.408280+00:00,96,5,OFF,0,baseline
2026-04-03T21:04:41.082484+00:00,97,5,OFF,0,baseline
2026-04-03T21:04:44.743491+00:00,98,5,OFF,0,baseline
2026-04-03T21:04:48.424506+00:00,99,5,OFF,0,baseline
2026-04-03T21:04:52.094994+00:00,100,5,OFF,0,baseline
2026-04-03T21:04:55.774818+00:00,101,5,OFF,0,baseline
2026-04-03T21:04:59.437834+00:00,102,5,OFF,0,baseline
2026-04-03T21:05:03.118874+00:00,103,5,OFF,0,baseline
2026-04-03T21:05:06.777097+00:00,104,5,OFF,0,baseline
2026-04-03T21:05:10.461206+00:00,105,5,OFF,0,baseline
2026-04-03T21:05:14.126289+00:00,106,5,OFF,0,baseline
2026-04-03T21:05:17.806366+00:00,107,5,OFF,0,baseline
2026-04-03T21:05:21.470514+00:00,108,5,OFF,0,baseline
2026-04-03T21:05:25.148407+00:00,109,5,OFF,0,baseline
2026-04-03T21:05:28.814256+00:00,110,5,OFF,0,baseline
2026-04-03T21:05:32.494061+00:00,111,5,OFF,0,baseline
2026-04-03T21:05:36.149599+00:00,112,5,OFF,0,baseline
2026-04-03T21:05:39.837850+00:00,113,5,OFF,0,baseline
2026-04-03T21:05:43.500485+00:00,114,5,OFF,0,baseline
2026-04-03T21:05:47.181371+00:00,115,5,OFF,0,baseline
2026-04-03T21:05:50.844748+00:00,116,5,OFF,0,baseline
2026-04-03T21:05:54.524592+00:00,117,5,OFF,0,baseline
2026-04-03T21:05:58.189560+00:00,118,5,OFF,0,baseline
2026-04-03T21:06:01.868762+00:00,119,5,OFF,0,baseline
2026-04-03T21:06:05.534401+00:00,120,5,OFF,0,baseline
2026-04-03T21:06:09.207108+00:00,121,5,OFF,0,baseline
2026-04-03T21:06:12.876420+00:00,122,5,OFF,0,baseline
2026-04-03T21:06:16.556386+00:00,123,5,OFF,0,baseline
2026-04-03T21:06:20.216630+00:00,124,5,OFF,0,baseline
2026-04-03T21:06:23.899625+00:00,125,5,OFF,0,baseline
2026-04-03T21:06:27.563732+00:00,126,5,OFF,0,baseline
2026-04-03T21:06:31.242884+00:00,127,5,OFF,0,baseline
2026-04-03T21:06:34.904654+00:00,128,5,OFF,0,baseline
2026-04-03T21:06:38.585012+00:00,129,5,OFF,0,baseline
2026-04-03T21:06:42.250606+00:00,130,5,OFF,0,baseline
2026-04-03T21:06:45.930845+00:00,131,5,OFF,0,baseline
