# experiment: experiment
# description: 
# start_time: 2026-04-24T15:48:38.596221+00:00
timestamp,iteration,hold_s,refresh_rate,pattern,flip_count,temp_c,experiment
2026-04-24T15:48:43.362746+00:00,1,5,OFF,FF,53196,,experiment
2026-04-24T15:48:47.671712+00:00,2,5,OFF,FF,0,48.6,experiment
2026-04-24T15:48:51.880232+00:00,3,5,OFF,FF,0,49.3,experiment
2026-04-24T15:48:56.152841+00:00,4,5,OFF,FF,0,49.2,experiment
2026-04-24T15:49:00.424186+00:00,5,5,OFF,FF,0,49.5,experiment
2026-04-24T15:49:04.695765+00:00,6,5,OFF,FF,0,49.5,experiment
2026-04-24T15:49:08.967525+00:00,7,5,OFF,FF,0,49.7,experiment
2026-04-24T15:49:15.479979+00:00,8,5,OFF,FF,0,49.8,experiment
2026-04-24T15:49:21.975570+00:00,9,5,OFF,FF,0,49.7,experiment
2026-04-24T15:49:28.471732+00:00,10,5,OFF,FF,0,49.7,experiment
2026-04-24T15:49:34.966889+00:00,11,5,OFF,FF,0,49.7,experiment
2026-04-24T15:49:41.465760+00:00,12,5,OFF,FF,0,49.7,experiment
2026-04-24T15:49:47.961023+00:00,13,5,OFF,FF,0,50.0,experiment
2026-04-24T15:49:54.453748+00:00,14,5,OFF,FF,0,49.8,experiment
2026-04-24T15:50:00.950125+00:00,15,5,OFF,FF,0,49.8,experiment
2026-04-24T15:50:07.446299+00:00,16,5,OFF,FF,0,49.8,experiment
2026-04-24T15:50:13.941319+00:00,17,5,OFF,FF,0,50.1,experiment
2026-04-24T15:50:20.437429+00:00,18,5,OFF,FF,0,50.1,experiment
2026-04-24T15:50:26.932778+00:00,19,5,OFF,FF,0,50.0,experiment
2026-04-24T15:50:33.428869+00:00,20,5,OFF,FF,0,50.2,experiment
2026-04-24T15:50:39.923775+00:00,21,5,OFF,FF,0,50.2,experiment
2026-04-24T15:50:46.419423+00:00,22,5,OFF,FF,0,50.2,experiment
2026-04-24T15:50:52.916021+00:00,23,5,OFF,FF,0,50.3,experiment
2026-04-24T15:50:59.462634+00:00,24,5,OFF,FF,0,50.1,experiment
2026-04-24T15:51:05.906757+00:00,25,5,OFF,FF,0,50.3,experiment
2026-04-24T15:51:12.402757+00:00,26,5,OFF,FF,0,50.3,experiment
2026-04-24T15:51:18.898794+00:00,27,5,OFF,FF,0,50.6,experiment
2026-04-24T15:51:25.409884+00:00,28,5,OFF,FF,0,50.2,experiment
2026-04-24T15:51:31.906636+00:00,29,5,OFF,FF,0,50.4,experiment
2026-04-24T15:51:43.393519+00:00,30,10,OFF,FF,0,50.6,experiment
2026-04-24T15:51:49.890687+00:00,31,5,OFF,FF,0,50.4,experiment
2026-04-24T15:52:16.384833+00:00,32,25,OFF,FF,0,50.7,experiment
2026-04-24T15:53:02.883832+00:00,33,45,OFF,FF,0,50.4,experiment
