# experiment: baseline
# description: Room temp, refresh OFF
# start_time: 2026-04-03T18:21:45.677482+00:00
timestamp,iteration,hold_s,refresh_rate,flip_count,experiment
2026-04-03T18:21:47.139238+00:00,1,5,OFF,3,baseline
2026-04-03T18:21:50.802782+00:00,2,5,OFF,0,baseline
2026-04-03T18:21:54.482663+00:00,3,5,OFF,0,baseline
2026-04-03T18:22:06.497673+00:00,4,20,OFF,66,baseline
2026-04-03T18:22:18.497908+00:00,5,20,OFF,68,baseline
2026-04-03T18:22:30.497386+00:00,6,20,OFF,51,baseline
2026-04-03T18:22:42.512636+00:00,7,20,OFF,49,baseline
2026-04-03T18:22:54.547571+00:00,8,20,OFF,49,baseline
2026-04-03T18:23:06.511672+00:00,9,20,OFF,49,baseline
2026-04-03T18:23:18.527565+00:00,10,20,OFF,50,baseline
2026-04-03T18:23:30.527097+00:00,11,20,OFF,49,baseline
2026-04-03T18:23:42.526641+00:00,12,20,OFF,50,baseline
2026-04-03T18:23:54.542088+00:00,13,20,OFF,51,baseline
2026-04-03T18:24:06.547687+00:00,14,20,OFF,50,baseline
2026-04-03T18:24:18.555765+00:00,15,20,OFF,51,baseline
2026-04-03T18:24:30.556773+00:00,16,20,OFF,51,baseline
2026-04-03T18:24:42.556558+00:00,17,20,OFF,51,baseline
2026-04-03T18:24:54.556756+00:00,18,20,OFF,53,baseline
