# experiment: baseline
# description: Room temp, refresh OFF
# start_time: 2026-04-03T22:09:43.609501+00:00
timestamp,iteration,hold_s,refresh_rate,flip_count,experiment
2026-04-03T22:09:46.702508+00:00,1,5,OFF,0,baseline
2026-04-03T22:09:50.366608+00:00,2,5,OFF,0,baseline
2026-04-03T22:10:15.965511+00:00,3,1,OFF,1390,baseline
2026-04-03T22:10:17.869422+00:00,4,1,OFF,37,baseline
2026-04-03T22:10:19.757485+00:00,5,1,OFF,0,baseline
2026-04-03T22:10:21.660851+00:00,6,1,OFF,0,baseline
2026-04-03T22:10:23.550494+00:00,7,1,OFF,0,baseline
2026-04-03T22:10:25.453067+00:00,8,1,OFF,0,baseline
2026-04-03T22:11:26.346894+00:00,9,60,OFF,16702,baseline
2026-04-03T22:12:27.242339+00:00,10,60,OFF,16819,baseline
2026-04-03T22:13:28.134973+00:00,11,60,OFF,16956,baseline
2026-04-03T22:14:29.029657+00:00,12,60,OFF,17000,baseline
2026-04-03T22:15:29.920813+00:00,13,60,OFF,17014,baseline
2026-04-03T22:16:30.817005+00:00,14,60,OFF,17046,baseline
2026-04-03T22:17:31.710198+00:00,15,60,OFF,17074,baseline
2026-04-03T22:18:32.602776+00:00,16,60,OFF,17117,baseline
