# experiment: experiment
# description: 
# start_time: 2026-05-08T19:06:23.674598+00:00
timestamp,iteration,hold_s,refresh_rate,pattern,flip_count,temp_c,experiment
2026-05-08T19:06:28.373356+00:00,1,5,OFF,FF,4758,,experiment
2026-05-08T19:06:32.608866+00:00,2,5,OFF,FF,0,,experiment
2026-05-08T19:06:36.880974+00:00,3,5,OFF,FF,0,,experiment
2026-05-08T19:06:41.152025+00:00,4,5,OFF,FF,0,,experiment
2026-05-08T19:06:45.408782+00:00,5,5,OFF,FF,0,,experiment
2026-05-08T19:06:49.679856+00:00,6,5,OFF,FF,0,,experiment
2026-05-08T19:06:53.962415+00:00,7,5,OFF,FF,0,,experiment
2026-05-08T19:06:58.207659+00:00,8,5,OFF,FF,0,,experiment
2026-05-08T19:07:02.480285+00:00,9,5,OFF,FF,0,,experiment
2026-05-08T19:07:06.734493+00:00,10,5,OFF,FF,0,,experiment
2026-05-08T19:07:11.007416+00:00,11,5,OFF,FF,0,,experiment
2026-05-08T19:07:15.262683+00:00,12,5,OFF,FF,0,,experiment
